,user,text,favorite_count,retweet_count,created_at
85,iamsrk,"Hum bas soft drink pine waalo mein se nahin hai. Hume chahiye toofan, aur toofan matlab #ThumsUp ⚡️💪
@ThumsUpOfficial 
 
#SoftDrinkNahinToofan https://t.co/YW1t5Yvmh2",32076,5102,2023-02-13 09:51:09+00:00
86,iamsrk,Arre yaar itni mushkil se action hero bana….and you guys are bringing back Raj…uff!! This competition is killing me!!!! I am going to see #Pathaan …Raj toh ghar ka hai. https://t.co/ImGLi1nC2m,50562,5901,2023-02-11 09:25:03+00:00
87,iamsrk,The Sun is alone….it Burns….and comes out of the darkness to Shine again.  Thank u all for letting the Sun shine on #Pathaan. https://t.co/BQbHE05JqE,194014,16023,2023-02-08 11:29:21+00:00
88,iamsrk,Wow… love the T-shirts and hoodies… thank u London https://t.co/0K4eOlyPqB,11654,1419,2023-02-06 12:25:49+00:00
89,iamsrk,Sending love to all of u!! Thank u for making it special in New York https://t.co/8eIvCH5pte,8741,1170,2023-02-06 12:24:33+00:00
90,iamsrk,Thank u Austria! Love u… https://t.co/1wya4nmOxP,9502,1170,2023-02-06 12:21:53+00:00
91,iamsrk,So much love!! Thank u all… https://t.co/8wZB2l58Yd,8030,1175,2023-02-06 11:39:30+00:00
92,iamsrk,Thank you Peru… lots of love https://t.co/p4WeNxZgeW,6842,1006,2023-02-06 11:37:10+00:00
93,iamsrk,Thank u… glad to see u have a good time with #Pathaan https://t.co/6LEQiG7oYU,6814,1017,2023-02-06 11:36:33+00:00
94,iamsrk,Thank u so much… lots of love to each member https://t.co/TaGy0z2gGr,6490,977,2023-02-06 11:32:35+00:00
95,iamsrk,Thank u Bangalore! So happy to see you all happy https://t.co/xG0zIQK5se,9506,1227,2023-02-06 11:29:12+00:00
96,iamsrk,Oh yes Germany….thank u for  dancing in the cold!! https://t.co/iq1CdeaAtB,10269,1267,2023-02-06 11:05:25+00:00
97,iamsrk,Berhampur thank u https://t.co/11vnEGPPH9,8325,1151,2023-02-06 09:49:12+00:00
98,iamsrk,Thank u Warangal as always https://t.co/jyEPq5Hj8V,6961,1185,2023-02-06 09:48:57+00:00
99,iamsrk,Thank u Gulbarga have a good life love u https://t.co/ZnEIxFpMrY,6373,1070,2023-02-06 09:48:41+00:00
